type,lat,lon
Speed bump,-1.2641,36.7485
Speed bump,-1.2637,36.7579
Speed bump,-1.2894,36.7617
Speed bump,-1.2629,36.7637
Speed bump,-1.2803,36.7691
Speed bump,-1.2797,36.7695
Speed bump,-1.2601,36.7703
Speed bump,-1.2475,36.6845
Speed bump,-1.2475,36.6846
Speed bump,-1.2302,36.6779
Speed bump,-1.2301,36.6790
Speed bump,-1.2301,36.6796
Speed bump,-1.2469,36.6859
Speed bump,-1.2484,36.6883
Speed bump,-1.2486,36.6886
Speed bump,-1.2497,36.6905
Speed bump,-1.2494,36.6911
Speed bump,-1.2493,36.6914
Speed bump,-1.2502,36.6919
Rumble strip,-1.2628,36.7649
Rumble strip,-1.2603,36.7712
Rumble strip,-1.2604,36.7695
Speed bump,-1.2634,36.7609
Rumble strip,-1.2638,36.7571
Speed bump,-1.2623,36.7273
Rumble strip,-1.2603,36.7104
Rumble strip,-1.2601,36.7094
Speed bump,-1.2586,36.7032
Rumble strip,-1.2582,36.7020
Rumble strip,-1.2574,36.6996
Rumble strip,-1.2515,36.6873
Speed bump,-1.2519,36.6928
Speed bump,-1.2579,36.7009
Speed bump,-1.2588,36.7034
Speed bump,-1.2604,36.7103
Speed bump,-1.3272,36.7112
Speed bump,-1.3277,36.7116
Speed bump,-1.3197,36.7143
Speed bump,-1.2601,36.7189
Speed bump,-1.2627,36.7280
Speed bump,-1.2640,36.7326
Speed bump,-1.2644,36.7362
Speed bump,-1.2643,36.7400
Rumble strip,-1.2452,36.6792
Speed bump,-1.2438,36.6627
Speed bump,-1.2435,36.6626
Speed bump,-1.2411,36.6624
Speed bump,-1.2384,36.6623
Speed bump,-1.2350,36.6622
Speed bump,-1.2320,36.6621
Speed bump,-1.2294,36.6622
Speed bump,-1.2289,36.6624
Speed bump,-1.2277,36.6628
Speed bump,-1.2272,36.7973
Speed bump,-1.2473,36.6796
Speed bump,-1.2473,36.6799
Rumble strip,-1.2472,36.6803
Rumble strip,-1.2525,36.6886
Rumble strip,-1.2580,36.7015
Rumble strip,-1.2589,36.7041
Speed bump,-1.2604,36.7108
Rumble strip,-1.2605,36.7112
Rumble strip,-1.2606,36.7116
Speed bump,-1.2602,36.7198
Speed bump,-1.2637,36.7296
Speed bump,-1.2643,36.7332
Rumble strip,-1.2643,36.7334
